dataset,nodes,edges,stage,category,in_wall_clock,n_runs,median_ms,mean_ms,min_ms,max_ms,stddev_ms
patents,3774768,16518948,CSV write,IO,1,3,6998.740,7007.477,6993.090,7030.600,20.224
hi_medium,2077023,31898238,CSV read (account),IO,1,3,624.670,624.767,621.670,627.960,3.146
hi_medium,2077023,31898238,CSV read (txn),IO,1,3,27720.760,27716.080,27618.730,27808.750,95.096
hi_medium,2077023,31898238,buildNodeIndex,OFFLINE,1,3,2245.810,2260.773,2200.670,2335.840,68.816
hi_medium,2077023,31898238,index copy (src),OFFLINE,1,3,285.360,285.757,281.520,290.390,4.448
hi_medium,2077023,31898238,initProbeSide (dst),OFFLINE,0,3,1046.440,1047.560,1045.380,1050.860,2.907
hi_medium,2077023,31898238,initProbeSide (src),OFFLINE,0,3,1048.230,1050.517,1041.340,1061.980,10.508
hi_medium,2077023,31898238,initProbeSide (wall),OFFLINE,1,3,1048.960,1052.767,1046.570,1062.770,8.745
hi_medium,2077023,31898238,deduplicateRows (dst),ONLINE,0,3,30.730,31.130,29.890,32.770,1.481
hi_medium,2077023,31898238,deduplicateRows (src),ONLINE,0,3,31.480,30.717,29.030,31.640,1.463
hi_medium,2077023,31898238,probe dst,ONLINE,0,3,1927.600,1974.877,1914.810,2082.220,93.182
hi_medium,2077023,31898238,reduplicateRows (dst),ONLINE,0,3,45.070,44.193,41.460,46.050,2.417
hi_medium,2077023,31898238,unionWith (dst),ONLINE,0,3,26.300,26.253,24.160,28.300,2.070
hi_medium,2077023,31898238,probe src,ONLINE,0,3,1963.070,2102.563,1924.230,2420.390,275.930
hi_medium,2077023,31898238,reduplicateRows (src),ONLINE,0,3,53.590,54.390,45.610,63.970,9.206
hi_medium,2077023,31898238,unionWith (src),ONLINE,0,3,54.270,116.500,35.170,260.060,124.693
hi_medium,2077023,31898238,src branch (total),ONLINE,0,3,2308.230,2304.200,2034.060,2570.310,268.148
hi_medium,2077023,31898238,parallel_sort (dst),ONLINE,0,3,934.760,943.777,911.090,985.480,38.006
hi_medium,2077023,31898238,dst branch (total),ONLINE,0,3,3002.470,3020.313,2966.700,3091.770,64.416
hi_medium,2077023,31898238,parallel branches (wall),ONLINE,1,3,3094.510,3105.670,3059.320,3163.180,52.822
hi_medium,2077023,31898238,unionWith (final),ONLINE,1,3,37.260,37.800,37.130,39.010,1.050
hi_medium,2077023,31898238,CSV write,IO,1,3,15672.840,15668.657,15648.790,15684.340,18.140
hi_large,2116168,179702229,CSV read (account),IO,1,3,685.590,686.750,684.210,690.450,3.278
hi_large,2116168,179702229,CSV read (txn),IO,1,3,141531.160,141557.633,141481.220,141660.520,92.535
hi_large,2116168,179702229,buildNodeIndex,OFFLINE,1,3,4615.350,4619.227,4608.320,4634.010,13.276
hi_large,2116168,179702229,index copy (src),OFFLINE,1,3,533.620,538.807,527.690,555.110,14.427
hi_large,2116168,179702229,initProbeSide (src),OFFLINE,0,3,5903.030,5849.680,5624.990,6021.020,203.334
hi_large,2116168,179702229,initProbeSide (dst),OFFLINE,0,3,5903.340,5896.303,5757.070,6028.500,135.852
hi_large,2116168,179702229,initProbeSide (wall),OFFLINE,1,3,5903.750,5896.507,5757.170,6028.600,135.860
hi_large,2116168,179702229,deduplicateRows (dst),ONLINE,0,3,202.240,191.660,167.030,205.710,21.401
hi_large,2116168,179702229,deduplicateRows (src),ONLINE,0,3,170.900,179.017,165.010,201.140,19.384
hi_large,2116168,179702229,probe dst,ONLINE,0,3,14364.670,14340.093,14129.960,14525.650,198.987
hi_large,2116168,179702229,probe src,ONLINE,0,3,14441.530,14510.880,14343.100,14748.010,211.176
hi_large,2116168,179702229,reduplicateRows (dst),ONLINE,0,3,244.760,247.537,240.000,257.850,9.243
hi_large,2116168,179702229,unionWith (dst),ONLINE,0,3,211.850,194.203,150.440,220.320,38.136
hi_large,2116168,179702229,reduplicateRows (src),ONLINE,0,3,293.790,299.497,288.700,316.000,14.517
hi_large,2116168,179702229,unionWith (src),ONLINE,0,3,2326.980,1642.193,229.860,2369.740,1223.303
hi_large,2116168,179702229,src branch (total),ONLINE,0,3,17207.820,16631.613,15152.410,17534.610,1291.406
hi_large,2116168,179702229,parallel_sort (dst),ONLINE,0,3,7318.000,7327.263,7286.950,7376.840,45.655
hi_large,2116168,179702229,dst branch (total),ONLINE,0,3,22322.580,22300.883,22084.770,22495.300,206.123
hi_large,2116168,179702229,parallel branches (wall),ONLINE,1,3,22670.180,22663.290,22425.950,22893.740,233.971
hi_large,2116168,179702229,unionWith (final),ONLINE,1,3,134.590,143.447,131.690,164.060,17.910
hi_large,2116168,179702229,CSV write,IO,1,3,57457.210,57479.913,57449.250,57533.280,46.388
