dataset,workload,nodes,edges,threads,run_id,is_warmup,stage,category,time_ms,in_wall_clock
snb_sf30,snb,165430,12035314,64,1,1,reduplicateRows (dst),ONLINE,27.440,0
snb_sf30,snb,165430,12035314,64,1,1,unionWith (src),ONLINE,19.780,0
snb_sf30,snb,165430,12035314,64,1,1,src branch (total),ONLINE,500.170,0
snb_sf30,snb,165430,12035314,64,1,1,unionWith (dst),ONLINE,15.730,0
snb_sf30,snb,165430,12035314,64,1,1,parallel_sort (dst),ONLINE,265.220,0
snb_sf30,snb,165430,12035314,64,1,1,dst branch (total),ONLINE,766.460,0
snb_sf30,snb,165430,12035314,64,1,1,parallel branches (wall),ONLINE,802.530,1
snb_sf30,snb,165430,12035314,64,1,1,unionWith (final),ONLINE,21.820,1
snb_sf30,snb,165430,12035314,64,1,1,CSV write,IO,5679.430,1
snb_sf30,snb,165430,12035314,64,2,0,CSV read (account),IO,67.450,1
snb_sf30,snb,165430,12035314,64,2,0,CSV read (txn),IO,8957.340,1
snb_sf30,snb,165430,12035314,64,2,0,buildNodeIndex,OFFLINE,242.200,1
snb_sf30,snb,165430,12035314,64,2,0,index copy (src),OFFLINE,37.660,1
snb_sf30,snb,165430,12035314,64,2,0,initProbeSide (dst),OFFLINE,371.520,0
snb_sf30,snb,165430,12035314,64,2,0,initProbeSide (src),OFFLINE,388.370,0
snb_sf30,snb,165430,12035314,64,2,0,initProbeSide (wall),OFFLINE,389.000,1
snb_sf30,snb,165430,12035314,64,2,0,deduplicateRows (src),ONLINE,10.670,0
snb_sf30,snb,165430,12035314,64,2,0,deduplicateRows (dst),ONLINE,11.990,0
snb_sf30,snb,165430,12035314,64,2,0,probe src,ONLINE,411.500,0
snb_sf30,snb,165430,12035314,64,2,0,reduplicateRows (src),ONLINE,22.950,0
snb_sf30,snb,165430,12035314,64,2,0,unionWith (src),ONLINE,14.740,0
snb_sf30,snb,165430,12035314,64,2,0,src branch (total),ONLINE,459.890,0
snb_sf30,snb,165430,12035314,64,2,0,probe dst,ONLINE,452.440,0
snb_sf30,snb,165430,12035314,64,2,0,reduplicateRows (dst),ONLINE,22.090,0
snb_sf30,snb,165430,12035314,64,2,0,unionWith (dst),ONLINE,9.030,0
snb_sf30,snb,165430,12035314,64,2,0,parallel_sort (dst),ONLINE,282.780,0
snb_sf30,snb,165430,12035314,64,2,0,dst branch (total),ONLINE,778.370,0
snb_sf30,snb,165430,12035314,64,2,0,parallel branches (wall),ONLINE,819.590,1
snb_sf30,snb,165430,12035314,64,2,0,unionWith (final),ONLINE,16.070,1
snb_sf30,snb,165430,12035314,64,2,0,CSV write,IO,5646.840,1
snb_sf30,snb,165430,12035314,64,3,0,CSV read (account),IO,66.400,1
snb_sf30,snb,165430,12035314,64,3,0,CSV read (txn),IO,8883.980,1
snb_sf30,snb,165430,12035314,64,3,0,buildNodeIndex,OFFLINE,233.250,1
snb_sf30,snb,165430,12035314,64,3,0,index copy (src),OFFLINE,36.670,1
snb_sf30,snb,165430,12035314,64,3,0,initProbeSide (dst),OFFLINE,367.150,0
snb_sf30,snb,165430,12035314,64,3,0,initProbeSide (src),OFFLINE,376.410,0
snb_sf30,snb,165430,12035314,64,3,0,initProbeSide (wall),OFFLINE,377.110,1
snb_sf30,snb,165430,12035314,64,3,0,deduplicateRows (src),ONLINE,11.870,0
snb_sf30,snb,165430,12035314,64,3,0,deduplicateRows (dst),ONLINE,12.220,0
snb_sf30,snb,165430,12035314,64,3,0,probe dst,ONLINE,441.530,0
snb_sf30,snb,165430,12035314,64,3,0,probe src,ONLINE,445.110,0
