system,threads,stage,category,time_ms,in_wall_clock
ours,32,deduplicateRows (src),ONLINE,7.560,0
ours,32,probe dst,ONLINE,377.260,0
ours,32,probe src,ONLINE,392.570,0
ours,32,reduplicateRows (dst),ONLINE,17.270,0
ours,32,unionWith (dst),ONLINE,7.610,0
ours,32,reduplicateRows (src),ONLINE,12.800,0
ours,32,unionWith (src),ONLINE,43.880,0
ours,32,src branch (total),ONLINE,456.830,0
ours,32,parallel_sort (dst),ONLINE,156.460,0
ours,32,dst branch (total),ONLINE,564.940,0
ours,32,parallel branches (wall),ONLINE,580.910,1
ours,32,unionWith (final),ONLINE,14.260,1
ours,32,CSV write,IO,2450.070,1
obliviator,32,step 1 (sort),ONLINE,197.702,0
obliviator,32,step 1 (total),ONLINE,313.379,1
obliviator,32,build intermediate,ONLINE,30.875,1
obliviator,32,step 2 (sort),ONLINE,199.589,0
obliviator,32,step 2 (total),ONLINE,303.929,1
obliviator,32,emit (in-memory),ONLINE,26.179,0
obliviator,32,OBLIVIOUS WORK,ONLINE,648.183,0
obliviator,32,OBLIVIOUS WORK + EMIT,ONLINE,674.362,0
obliviator,32,CSV load,IO,884.000,0
obliviator,32,CSV write,IO,159.000,0
ours,64,CSV read (account),IO,339.840,1
ours,64,CSV read (txn),IO,3862.440,1
ours,64,buildNodeIndex,OFFLINE,918.060,1
ours,64,index copy (src),OFFLINE,140.320,1
ours,64,initProbeSide (dst),OFFLINE,138.990,0
ours,64,initProbeSide (src),OFFLINE,154.650,0
ours,64,initProbeSide (wall),OFFLINE,155.210,1
ours,64,deduplicateRows (src),ONLINE,6.360,0
ours,64,deduplicateRows (dst),ONLINE,6.730,0
ours,64,probe dst,ONLINE,274.670,0
ours,64,reduplicateRows (dst),ONLINE,13.900,0
ours,64,probe src,ONLINE,290.830,0
ours,64,unionWith (dst),ONLINE,6.130,0
ours,64,reduplicateRows (src),ONLINE,31.280,0
ours,64,unionWith (src),ONLINE,9.060,0
ours,64,src branch (total),ONLINE,337.550,0
ours,64,parallel_sort (dst),ONLINE,110.200,0
ours,64,dst branch (total),ONLINE,411.700,0
ours,64,parallel branches (wall),ONLINE,426.040,1
ours,64,unionWith (final),ONLINE,4.640,1
ours,64,CSV write,IO,2503.800,1
obliviator,64,step 1 (sort),ONLINE,138.150,0
obliviator,64,step 1 (total),ONLINE,225.582,1
obliviator,64,build intermediate,ONLINE,21.813,1
obliviator,64,step 2 (sort),ONLINE,150.579,0
obliviator,64,step 2 (total),ONLINE,235.822,1
obliviator,64,emit (in-memory),ONLINE,19.325,0
obliviator,64,OBLIVIOUS WORK,ONLINE,483.217,0
obliviator,64,OBLIVIOUS WORK + EMIT,ONLINE,502.542,0
obliviator,64,CSV load,IO,922.000,0
obliviator,64,CSV write,IO,117.000,0
ours,120,CSV read (account),IO,352.820,1
ours,120,CSV read (txn),IO,3933.820,1
ours,120,buildNodeIndex,OFFLINE,894.900,1
ours,120,index copy (src),OFFLINE,137.370,1
ours,120,initProbeSide (dst),OFFLINE,147.000,0
ours,120,initProbeSide (src),OFFLINE,171.600,0
ours,120,initProbeSide (wall),OFFLINE,172.560,1
ours,120,deduplicateRows (dst),ONLINE,5.910,0
ours,120,deduplicateRows (src),ONLINE,7.850,0
ours,120,probe dst,ONLINE,287.460,0
ours,120,probe src,ONLINE,286.010,0
ours,120,reduplicateRows (dst),ONLINE,9.160,0
ours,120,reduplicateRows (src),ONLINE,9.850,0
ours,120,unionWith (dst),ONLINE,8.450,0
ours,120,unionWith (src),ONLINE,8.270,0
ours,120,src branch (total),ONLINE,312.010,0
ours,120,parallel_sort (dst),ONLINE,115.730,0
ours,120,dst branch (total),ONLINE,426.780,0
ours,120,parallel branches (wall),ONLINE,436.820,1
ours,120,unionWith (final),ONLINE,3.880,1
ours,120,CSV write,IO,2457.970,1
obliviator,120,step 1 (sort),ONLINE,154.728,0
obliviator,120,step 1 (total),ONLINE,261.784,1
obliviator,120,build intermediate,ONLINE,22.913,1
obliviator,120,step 2 (sort),ONLINE,159.046,0
obliviator,120,step 2 (total),ONLINE,251.042,1
obliviator,120,emit (in-memory),ONLINE,12.546,0
obliviator,120,OBLIVIOUS WORK,ONLINE,535.739,0
obliviator,120,OBLIVIOUS WORK + EMIT,ONLINE,548.285,0
obliviator,120,CSV load,IO,1369.000,0
obliviator,120,CSV write,IO,139.000,0
