system,threads,run_id,is_warmup,stage,category,time_ms,in_wall_clock
obliviator,4,1,1,step 1 (total),ONLINE,1448.936,1
obliviator,4,1,1,build intermediate,ONLINE,186.771,1
obliviator,4,1,1,step 2 (sort),ONLINE,1190.212,0
obliviator,4,1,1,step 2 (total),ONLINE,1533.621,1
obliviator,4,1,1,emit (in-memory),ONLINE,174.998,0
obliviator,4,1,1,OBLIVIOUS WORK,ONLINE,3169.328,0
obliviator,4,1,1,OBLIVIOUS WORK + EMIT,ONLINE,3344.326,0
obliviator,4,1,1,CSV load,IO,849.000,0
obliviator,4,1,1,CSV write,IO,149.000,0
obliviator,4,2,0,step 1 (sort),ONLINE,1102.061,0
obliviator,4,2,0,step 1 (total),ONLINE,1434.342,1
obliviator,4,2,0,build intermediate,ONLINE,186.039,1
obliviator,4,2,0,step 2 (sort),ONLINE,1185.545,0
obliviator,4,2,0,step 2 (total),ONLINE,1527.192,1
obliviator,4,2,0,emit (in-memory),ONLINE,176.689,0
obliviator,4,2,0,OBLIVIOUS WORK,ONLINE,3147.573,0
obliviator,4,2,0,OBLIVIOUS WORK + EMIT,ONLINE,3324.262,0
obliviator,4,2,0,CSV load,IO,839.000,0
obliviator,4,2,0,CSV write,IO,153.000,0
ours,8,1,1,CSV read (account),IO,337.490,1
ours,8,1,1,CSV read (txn),IO,3966.530,1
ours,8,1,1,buildNodeIndex,OFFLINE,902.710,1
ours,8,1,1,index copy (src),OFFLINE,135.440,1
ours,8,1,1,initProbeSide (dst),OFFLINE,137.940,0
ours,8,1,1,initProbeSide (src),OFFLINE,158.480,0
ours,8,1,1,initProbeSide (wall),OFFLINE,159.240,1
ours,8,1,1,deduplicateRows (src),ONLINE,9.170,0
ours,8,1,1,deduplicateRows (dst),ONLINE,12.780,0
ours,8,1,1,probe src,ONLINE,1002.130,0
ours,8,1,1,probe dst,ONLINE,999.260,0
ours,8,1,1,reduplicateRows (src),ONLINE,53.710,0
ours,8,1,1,reduplicateRows (dst),ONLINE,70.630,0
ours,8,1,1,unionWith (src),ONLINE,30.990,0
ours,8,1,1,src branch (total),ONLINE,1096.020,0
ours,8,1,1,unionWith (dst),ONLINE,19.580,0
ours,8,1,1,parallel_sort (dst),ONLINE,370.590,0
ours,8,1,1,dst branch (total),ONLINE,1472.890,0
ours,8,1,1,parallel branches (wall),ONLINE,1494.730,1
ours,8,1,1,unionWith (final),ONLINE,16.440,1
ours,8,1,1,CSV write,IO,2477.990,1
ours,8,2,0,CSV read (account),IO,355.270,1
ours,8,2,0,CSV read (txn),IO,3946.220,1
ours,8,2,0,buildNodeIndex,OFFLINE,906.040,1
ours,8,2,0,index copy (src),OFFLINE,137.290,1
ours,8,2,0,initProbeSide (dst),OFFLINE,135.760,0
ours,8,2,0,initProbeSide (src),OFFLINE,159.300,0
ours,8,2,0,initProbeSide (wall),OFFLINE,159.960,1
ours,8,2,0,deduplicateRows (src),ONLINE,9.110,0
ours,8,2,0,deduplicateRows (dst),ONLINE,11.770,0
ours,8,2,0,probe dst,ONLINE,972.760,0
ours,8,2,0,reduplicateRows (dst),ONLINE,48.010,0
ours,8,2,0,probe src,ONLINE,1032.500,0
ours,8,2,0,unionWith (dst),ONLINE,10.410,0
